epoch,acc,loss,lr,val_acc,val_loss
0,0.4172343313694,1.3909757137298584,1e-04,0.2643051743507385,1.623726725578308
1,0.5596048831939697,1.1111396551132202,1e-04,0.2643051743507385,1.7256479263305664
2,0.640326976776123,0.956344723701477,1e-04,0.35694822669029236,1.4078962802886963
3,0.7111716866493225,0.7889512181282043,1e-04,0.5912806391716003,1.0806773900985718
4,0.7932561039924622,0.6039980053901672,1e-04,0.5585830807685852,1.1668438911437988
5,0.8753405809402466,0.42889878153800964,1e-04,0.5776566863059998,1.2687567472457886
6,0.928133487701416,0.2902546226978302,1e-04,0.5667575001716614,1.3289779424667358
7,0.9591280817985535,0.19301247596740723,1e-04,0.5912806391716003,1.3453887701034546
8,0.9771798253059387,0.13058654963970184,1e-04,0.5749318599700928,1.449372410774231
9,0.9877384305000305,0.09521954506635666,1e-04,0.5504087209701538,1.6549018621444702
